created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2022-09-10T09:16:35+00:00,1,28.00,60.00,,,,,,
2022-09-10T09:20:51+00:00,2,28.00,60.00,,,,,,
2022-09-10T09:33:52+00:00,3,27.00,61.00,,,,,,
2022-09-10T09:37:00+00:00,4,27.00,61.00,,,,,,
2022-09-10T10:24:17+00:00,5,27.00,61.00,,,,,,
2022-09-10T10:24:48+00:00,6,27.00,61.00,,,,,,
2022-09-10T10:52:04+00:00,7,27.00,61.00,,,,,,
2022-09-10T10:54:11+00:00,8,27.00,61.00,,,,,,
2022-09-10T10:58:30+00:00,9,27.00,61.00,,,,,,
2022-09-10T11:06:44+00:00,10,27.00,61.00,,,,,,
2022-09-10T11:32:35+00:00,11,27.00,61.00,,,,,,
2022-09-10T11:43:15+00:00,12,27.00,61.00,,,,,,
2022-09-10T11:43:46+00:00,13,27.00,61.00,,,,,,
2022-09-10T12:00:03+00:00,14,27.00,61.00,,,,,,
2022-09-10T12:00:18+00:00,15,27.00,61.00,,,,,,
2022-09-10T12:08:21+00:00,16,27.00,60.00,,,,,,
2022-09-10T12:10:28+00:00,17,27.00,60.00,,,,,,
2022-09-10T12:19:28+00:00,18,27.00,60.00,,,,,,
2022-09-10T12:34:45+00:00,19,27.00,60.00,,,,,,
2022-09-10T12:35:16+00:00,20,27.00,60.00,,,,,,
2022-09-10T12:54:14+00:00,21,27.00,64.00,,,,,,
2022-09-10T13:19:13+00:00,22,28.00,70.00,,,,,,
2022-09-10T13:21:46+00:00,23,28.00,70.00,,,,,,
2022-09-10T13:22:07+00:00,24,28.00,70.00,,,,,,
2022-09-10T13:23:58+00:00,25,28.00,71.00,,,,,,
2022-09-10T13:51:09+00:00,26,28.00,74.00,,,,,,
2022-09-10T13:56:00+00:00,27,28.00,74.00,,,,,,
2022-09-10T14:00:24+00:00,28,28.00,75.00,,,,,,
2022-09-10T14:03:08+00:00,29,28.00,75.00,,,,,,
2022-09-10T14:30:29+00:00,30,29.00,76.00,,,,,,
2022-09-10T14:35:34+00:00,31,29.00,76.00,,,,,,
2022-09-10T14:38:16+00:00,32,29.00,75.00,,,,,,
2022-09-10T14:56:58+00:00,33,29.00,75.00,,9.38,,,,
2022-09-10T15:08:32+00:00,34,29.00,75.00,,9.31,,,,
2022-09-10T15:31:36+00:00,35,29.00,73.00,,9.23,,,,
2022-09-10T16:45:44+00:00,36,28.00,72.00,,,,,,
2022-09-10T17:00:31+00:00,37,28.00,71.00,,,,,,
2022-09-10T17:01:23+00:00,38,28.00,71.00,,,,,,
2022-09-10T17:31:36+00:00,39,28.00,70.00,,,,,,
2022-09-10T17:35:10+00:00,40,28.00,70.00,,,,,,
2022-09-10T18:09:43+00:00,41,28.00,69.00,,,,,,
2022-09-10T18:24:17+00:00,42,28.00,67.00,,,,,,
2022-09-10T18:44:12+00:00,43,28.00,68.00,,,,,,
2022-09-10T18:54:07+00:00,44,28.00,68.00,255,8.77,,,,
2022-09-10T21:07:40+00:00,45,27.00,66.00,255,8.96,,,,
2022-09-10T21:24:16+00:00,46,27.00,65.00,255,8.96,,,,
2022-09-10T22:10:39+00:00,47,27.00,65.00,255,9.04,,,,
2022-09-10T22:21:37+00:00,48,27.00,65.00,255,9.04,,,,
2022-09-10T22:44:45+00:00,49,27.00,64.00,255,9.06,,,,
2022-09-10T23:16:21+00:00,50,27.00,63.00,255,9.09,,,,
